traffic,item,Time,video,Image_index
w-outbound,None,0.2,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,6
w-outbound,None,0.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,15
w-outbound,None,1,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,30
w-inbound,None,1.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,41
min-s-onbound,,1.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,45
w-outbound,None,1.8,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,54
w-outbound,None,2.3,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,69
w-outbound,with brood,2.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,76
w-inbound,None,2.633,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,79
w-outbound,None,2.8,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,84
w-outbound,None,2.9,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,87
w-outbound,None,3.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,95
w-outbound,None,3.733,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,113
w-outbound,None,3.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,119
w-inbound,None,4.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,125
w-outbound,None,4.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,130
w-inbound,None,4.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,135
w-inbound,None,4.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,149
w-inbound,None,5.8,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,174
min-s-onbound,,6.567,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,197
w-outbound,None,7,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,210
min-s-onbound,,7.267,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,218
min-s-inbound,,7.633,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,229
w-inbound,None,8.2,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,246
min-s-inbound,,8.7,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,261
maj-s-inbound,,9.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,275
w-outbound,None,9.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,285
w-outbound,None,10.4,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,312
maj-s-inbound,,10.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,316
w-outbound,None,10.733,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,322
w-outbound,None,11.067,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,332
w-outbound,None,11.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,341
maj-s-onbound,,11.867,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,356
w-outbound,None,12.233,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,367
w-inbound,None,12.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,370
maj-s-onbound,,13.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,401
min-s-inbound,,14.067,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,422
maj-s-inbound,,14.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,436
w-outbound,None,15.2,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,456
